	tweet	class
0	rt mayasolovely woman shouldnt complain cleaning house amp man always take trash	2
1	rt mleew17 boy dats coldtyga dwn bad cuffin dat hoe 1st place	1
2	rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit	1
3	rt c_g_anderson viva_based look like tranny	1
4	rt shenikaroberts shit hear might true might faker bitch told ya 57361	1
5	t_madison_x shit blows meclaim faithful somebody still fucking hoes 128514128514128514	1
6	__brighterdays sit hate another bitch got much shit going	1
7	8220selfiequeenbri cause im tired big bitches coming us skinny girls8221	1
8	amp might get ya bitch back amp thats	1
9	rhythmixx_ hobbies include fighting mariam bitch	1
10	keeks bitch curves everyone lol walked conversation like smh	1
11	murda gang bitch gang land	1
12	hoes smoke losers yea go ig	1
13	bad bitches thing like	1
14	bitch get	1
15	bitch nigga miss	1
16	bitch plz whatever	1
17	bitch love	1
18	bitches get cut everyday b	1
19	black bottle amp bad bitch	1
20	broke bitch cant tell nothing	1
21	cancel bitch like nino	1
22	cant see hoes wont change	1
23	fuck bitch dont even suck dick 128514128514128514 kermit videos bout fuck ig	1
24	got ya bitch tip toeing hardwood floors 128514 httptcocou2wq5l4q	1
25	pussy lips like heaven doors 128524	1
26	hoe hitting	1
27	met pussy ocean dr gave pussy pill 128524	1
28	need trippy bitch fuck hennessy	1
29	spend money want bitch business	1
30	txt old bitch new bitch pussy wetter	1
31	id say im back old old bitches would get excited 128524	1
32	aint bout murder game pussy nigga shut	1
33	youre toes aint done pussy stinks	1
34	im done bitter bitches wrap angry bird theres app	1
35	ya bitch	1
36	aint nothing cut bitch	1
37	jus meet son ya mane ass bitches shots	1
38	lames crying hoes thats tears clown	1
39	like snoop said 94 dont love hoes	1
40	momma said pussy cats inside doghouse	2
41	hated hoes favorite 2mw sevenone httptcobmdsvmc3rc	1
42	nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick httptcobzrdl3kf7u	1
43	pimps pimps hoes future voice	1
44	post picture pussy get 200 likes	1
45	pussy powerful drug 128517 happyhumpday httptcor8jsymib5b	1
46	quick piece pussy call drive	1
47	running round like brand new pussy thats bout get fucked	1
48	bitches even worst theyll send guys	1
49	hoes like niggas spend money talk bout	1
50	dont trust niggas bitches	1
51	yall niggas b cuffing hoes cause yall aint never bitches	1
52	dodge bullet 128517 8220darealkha da bitches cut pregnant bound thank god 1285918221	1
53	young pill chamberlain bitches love music	1
54	128514128514128514128514128514128514128514128514128514128514128514vandalsavage_ teanna trump probably cleaner twitter hoes	1
55	128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay niggas couldnt wait act like bitches tonight	1
56	128514128514128514the_paradox ima steal cat n replace pitbull 128514128514128514128514 rt 80sbaby4life the_paradox bitch	1
57	amp hes gone always hoe	1
58	son bitch took tic tacs like movie	1
59	wan na get money fuck model bitches russell simmons	1
60	2015seniorprobs probably wouldn8217t mind school much didn8217t deal bitch ass teachers retweet	1
61	a7xdemery im fucking fag said	1
62	arizzleindacut females think dating pussy cute httptcovxbjg26gsz stuff make pussy	1
63	addicted2guys simplyaddictedtoguys httptco1jl4hi8zmf woof woof hot scally lad	2
64	adorebellaaa ya ever asked bitch bitches kanye voice yes	1
65	adorezoey u gone bring ur side bitch game know ya gf friends 128553128553128553128553 swear	1
66	allaboutmanfeet httptco3gzupfumev woof woof hot soles	2
67	allyhaaaaa lemmie eat oreo amp dishes one oreo lol	2
68	almightywayne__ jetsandaswisher gook____ bitch fuck u httptcopxmga68nc1 maybe youll get better httptcotprevwfq0s	1
69	almightywayne__ fuck red malone man bitch ass niggah could please use complete sentences	1
70	arizonasfinest6 eggplant emoji doey say looked like scream lmao	2
71	autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 thats one sexy bitch	1
72	bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao	1
73	bro_hen314 eaglesnation every eagles need see pic posted bitch said racist shit	1
74	bvsedchink yo fuck skateboarding yall wood pushing faggots man ball life httptcovbczp6hmt7 amjemiebenn	1
75	babyanimalpics baby monkey bathtime httptco7kpwadlf0r awwwwe soooo adorable	2
76	baylaagottabody 128514128514128514128514 aint shit damn skippy lol	1
77	beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussyno bs must b gt30chance	1
78	beenbasedb _kudabrazyy httptcoluubgl9y5u 0 rings 0 mvps 0 bitches lol	1
79	beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn	1
80	bestproadvice facts tattoostattoo httptcozwnbhpdz8e hes pussy tattooing nipples	1
81	bill215_ 128175128175128175 rt nel_ayden bitches wanting act like niggas bad 128553128553128553 shit aint cuteeeee niggas act like bitches	1
82	bitchjones92 get worshiping bitch httptcor37cejcjou woof woof	1
